nominal, lapu, genrr, bitflip
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.010101010101010187e-02,7.000000000000000146e-03,5.000000000000000104e-03,4.000000000000000083e-03
2.020202020202020374e-02,2.199999999999999872e-02,8.999999999999999320e-03,1.499999999999999944e-02
3.030303030303030387e-02,3.099999999999999978e-02,1.299999999999999940e-02,2.400000000000000050e-02
4.040404040404040747e-02,4.499999999999999833e-02,1.700000000000000122e-02,2.599999999999999881e-02
5.050505050505051108e-02,5.800000000000000294e-02,2.500000000000000139e-02,3.699999999999999817e-02
6.060606060606060774e-02,7.099999999999999367e-02,3.200000000000000067e-02,4.599999999999999922e-02
7.070707070707071829e-02,8.000000000000000167e-02,3.799999999999999906e-02,5.399999999999999939e-02
8.080808080808081495e-02,8.899999999999999578e-02,4.599999999999999922e-02,6.199999999999999956e-02
9.090909090909091161e-02,9.600000000000000200e-02,5.399999999999999939e-02,6.900000000000000577e-02
1.010101010101010222e-01,1.079999999999999988e-01,6.600000000000000311e-02,7.799999999999999989e-02
1.111111111111111188e-01,1.170000000000000068e-01,7.000000000000000666e-02,8.899999999999999578e-02
1.212121212121212155e-01,1.300000000000000044e-01,7.900000000000000078e-02,1.039999999999999952e-01
1.313131313131313260e-01,1.429999999999999882e-01,9.400000000000000022e-02,1.110000000000000014e-01
1.414141414141414366e-01,1.489999999999999936e-01,1.010000000000000064e-01,1.209999999999999964e-01
1.515151515151515194e-01,1.610000000000000042e-01,1.089999999999999997e-01,1.340000000000000080e-01
1.616161616161616299e-01,1.739999999999999880e-01,1.219999999999999973e-01,1.479999999999999927e-01
1.717171717171717404e-01,1.849999999999999978e-01,1.330000000000000071e-01,1.559999999999999998e-01
1.818181818181818232e-01,1.940000000000000058e-01,1.439999999999999891e-01,1.670000000000000095e-01
1.919191919191919338e-01,2.010000000000000120e-01,1.580000000000000016e-01,1.839999999999999969e-01
