nominal, lapu, genrr, bitflip
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.010101010101010187e-02,1.200000000000000025e-02,0.000000000000000000e+00,2.000000000000000042e-03
2.020202020202020374e-02,2.500000000000000139e-02,0.000000000000000000e+00,4.000000000000000083e-03
3.030303030303030387e-02,3.200000000000000067e-02,1.000000000000000021e-03,1.200000000000000025e-02
4.040404040404040747e-02,3.699999999999999817e-02,4.000000000000000083e-03,1.799999999999999864e-02
5.050505050505051108e-02,4.599999999999999922e-02,6.000000000000000125e-03,2.299999999999999961e-02
6.060606060606060774e-02,5.299999999999999850e-02,1.400000000000000029e-02,3.200000000000000067e-02
7.070707070707071829e-02,6.400000000000000133e-02,1.600000000000000033e-02,3.899999999999999994e-02
8.080808080808081495e-02,7.199999999999999456e-02,2.000000000000000042e-02,4.700000000000000011e-02
9.090909090909091161e-02,8.400000000000000522e-02,2.599999999999999881e-02,5.299999999999999850e-02
1.010101010101010222e-01,9.099999999999999756e-02,2.900000000000000147e-02,6.300000000000000044e-02
1.111111111111111188e-01,1.029999999999999943e-01,3.400000000000000244e-02,7.099999999999999367e-02
1.212121212121212155e-01,1.110000000000000014e-01,4.000000000000000083e-02,8.200000000000000344e-02
1.313131313131313260e-01,1.160000000000000059e-01,4.599999999999999922e-02,9.700000000000000289e-02
1.414141414141414366e-01,1.280000000000000027e-01,5.299999999999999850e-02,1.049999999999999961e-01
1.515151515151515194e-01,1.370000000000000107e-01,5.700000000000000205e-02,1.160000000000000059e-01
1.616161616161616299e-01,1.469999999999999918e-01,6.099999999999999867e-02,1.250000000000000000e-01
1.717171717171717404e-01,1.559999999999999998e-01,6.500000000000000222e-02,1.400000000000000133e-01
1.818181818181818232e-01,1.660000000000000087e-01,7.299999999999999545e-02,1.529999999999999971e-01
1.919191919191919338e-01,1.759999999999999898e-01,7.900000000000000078e-02,1.610000000000000042e-01
2.020202020202020443e-01,1.839999999999999969e-01,8.500000000000000611e-02,1.739999999999999880e-01
2.121212121212121271e-01,1.910000000000000031e-01,9.900000000000000466e-02,1.869999999999999996e-01
