nominal, lapu, genrr, bitflip
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.010101010101010187e-02,1.200000000000000025e-02,0.000000000000000000e+00,3.000000000000000062e-03
2.020202020202020374e-02,2.500000000000000139e-02,0.000000000000000000e+00,5.000000000000000104e-03
3.030303030303030387e-02,3.200000000000000067e-02,1.000000000000000021e-03,1.600000000000000033e-02
4.040404040404040747e-02,3.699999999999999817e-02,5.000000000000000104e-03,1.899999999999999953e-02
5.050505050505051108e-02,4.599999999999999922e-02,6.000000000000000125e-03,2.500000000000000139e-02
6.060606060606060774e-02,5.299999999999999850e-02,1.200000000000000025e-02,2.900000000000000147e-02
7.070707070707071829e-02,6.400000000000000133e-02,1.299999999999999940e-02,3.400000000000000244e-02
8.080808080808081495e-02,7.299999999999999545e-02,1.799999999999999864e-02,4.800000000000000100e-02
9.090909090909091161e-02,8.300000000000000433e-02,2.299999999999999961e-02,5.299999999999999850e-02
1.010101010101010222e-01,9.099999999999999756e-02,2.900000000000000147e-02,6.400000000000000133e-02
1.111111111111111188e-01,1.029999999999999943e-01,3.400000000000000244e-02,7.699999999999999900e-02
1.212121212121212155e-01,1.100000000000000006e-01,3.799999999999999906e-02,8.899999999999999578e-02
1.313131313131313260e-01,1.160000000000000059e-01,4.599999999999999922e-02,9.800000000000000377e-02
1.414141414141414366e-01,1.270000000000000018e-01,5.199999999999999761e-02,1.079999999999999988e-01
1.515151515151515194e-01,1.380000000000000115e-01,5.700000000000000205e-02,1.239999999999999991e-01
1.616161616161616299e-01,1.459999999999999909e-01,5.999999999999999778e-02,1.290000000000000036e-01
1.717171717171717404e-01,1.570000000000000007e-01,6.500000000000000222e-02,1.409999999999999865e-01
1.818181818181818232e-01,1.660000000000000087e-01,7.399999999999999634e-02,1.519999999999999962e-01
1.919191919191919338e-01,1.759999999999999898e-01,7.699999999999999900e-02,1.680000000000000104e-01
2.020202020202020443e-01,1.839999999999999969e-01,8.400000000000000522e-02,1.829999999999999960e-01
2.121212121212121271e-01,1.900000000000000022e-01,9.400000000000000022e-02,1.869999999999999996e-01
2.222222222222222376e-01,1.960000000000000075e-01,1.110000000000000014e-01,2.010000000000000120e-01
2.323232323232323482e-01,2.109999999999999931e-01,1.189999999999999947e-01,2.179999999999999993e-01
2.424242424242424310e-01,2.230000000000000038e-01,1.260000000000000009e-01,2.280000000000000082e-01
2.525252525252525415e-01,2.290000000000000091e-01,1.340000000000000080e-01,2.419999999999999929e-01
2.626262626262626521e-01,2.439999999999999947e-01,1.419999999999999873e-01,2.510000000000000009e-01
2.727272727272727626e-01,2.489999999999999991e-01,1.519999999999999962e-01,2.650000000000000133e-01
2.828282828282828731e-01,2.610000000000000098e-01,1.610000000000000042e-01,2.770000000000000240e-01
2.929292929292929282e-01,2.710000000000000187e-01,1.710000000000000131e-01,2.889999999999999791e-01
3.030303030303030387e-01,2.889999999999999791e-01,1.809999999999999942e-01,3.039999999999999925e-01
3.131313131313131493e-01,2.989999999999999880e-01,1.869999999999999996e-01,3.170000000000000040e-01
3.232323232323232598e-01,3.109999999999999987e-01,2.000000000000000111e-01,3.350000000000000200e-01
3.333333333333333703e-01,3.200000000000000067e-01,2.129999999999999949e-01,3.519999999999999796e-01
3.434343434343434809e-01,3.270000000000000129e-01,2.230000000000000038e-01,3.659999999999999920e-01
